movieId,Title,Year,genres,Tag
1,Toy Story ,1995,Adventure,Watched
2,Jumanji ,1995,Adventure,time travel
3,Grumpier Old Men ,1995,Comedy,old people that is actually funny
4,Waiting to Exhale ,1995,Comedy,chick flick
5,Father of the Bride Part II ,1995,Comedy,Diane Keaton
6,Heat ,1995,Action,realistic action
7,Sabrina ,1995,Comedy,Greg Kinnear
8,Tom and Huck ,1995,Adventure,adapted from:book
9,Sudden Death ,1995,Action,action
10,GoldenEye ,1995,Action,007 (series)
11,American President,1995,Comedy,president
12,Dracula: Dead and Loving It ,1995,Comedy,Mel Brooks
13,Balto ,1995,Adventure,sort of boring
14,Nixon ,1995,Drama,biopic
15,Cutthroat Island ,1995,Action,pirates
16,Casino ,1995,Crime,de niro in pink
17,Sense and Sensibility ,1995,Drama,adapted from:book
18,Four Rooms ,1995,Comedy,Quentin Tarantino
19,Ace Ventura: When Nature Calls ,1995,Comedy,childhood fav
20,Money Train ,1995,Action,worthwhile
21,Get Shorty ,1995,Comedy,mafia
22,Copycat ,1995,Crime,detective
23,Assassins ,1995,Action,Antonio Banderas
24,Powder ,1995,Drama,albino
25,Leaving Las Vegas ,1995,Drama,adapted from:book
26,Othello ,1995,Drama,adapted from:play
27,Now and Then ,1995,Children,a bit boring
28,Persuasion ,1995,Drama,18th century
29,City of Lost Children,1995,Adventure,children
30,Shanghai Triad Yao a yao yao dao waipo qiao ,1995,Crime,Gong Li
31,Dangerous Minds ,1995,Drama,teacher changing lives
32,Twelve Monkeys a.k.a. 12 Monkeys ,1995,Mystery,post-apocalyptic
33,Wings of Courage ,1995,Adventure,IMAX 3-D
34,Babe ,1995,Children,animal:pig
35,Carrington ,1995,Drama,compare:Bright Star (2009)
36,Dead Man Walking ,1995,Crime,Nun
37,Across the Sea of Time ,1995,Documentary,BD-R
38,It Takes Two ,1995,Children,twinsinter-related lives
39,Clueless ,1995,Comedy,Alicia Silverstone
40,Cry,1995,Drama,disk
41,Richard III ,1995,Drama,adapted from:play
42,Dead Presidents ,1995,Action,Erics Dvds
43,Restoration ,1995,Drama,17th century
44,Mortal Kombat ,1995,Action,adapted from:game
45,To Die For ,1995,Comedy,dark comedy
46,How to Make an American Quilt ,1995,Drama,based on a book
47,Seven a.k.a. Se7en ,1995,Mystery,atmospheric
48,Pocahontas ,1995,Animation,Disney animated feature
49,When Night Is Falling ,1995,Drama,Nudity (Topless - Notable)
50,Usual Suspects,1995,Crime,organized crime
52,Mighty Aphrodite ,1995,Comedy,Woody Allen
53,Lamerica ,1994,Adventure,immigrants
54,Big Green,1995,Children,Holly Goldberg Sloan
55,Georgia ,1995,Drama,musicians
57,Home for the Holidays ,1995,Drama,lovable
58,Postman,1994,Comedy,poetry
60,Indian in the Cupboard,1995,Adventure,based on book
61,Eye for an Eye ,1996,Drama,John Schlesinger
62,Mr. Holland's Opus ,1995,Drama,inspirational
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,Comedy,Wayans Brothers
64,Two if by Sea ,1996,Comedy,Sandra Bullock
65,Bio-Dome ,1996,Comedy,buddy comedy
66,Lawnmower Man 2: Beyond Cyberspace ,1996,Action,Crap
67,Two Bits ,1995,Drama,Al Pacino
68,French Twist Gazon maudit ,1995,Comedy,vhs
69,Friday ,1995,Comedy,stoner
70,From Dusk Till Dawn ,1996,Action,twist ending
71,Fair Game ,1995,Action,Nudity (Topless)
72,Kicking and Screaming ,1995,Comedy,whit stillman meets Diner
73,Misérables,1995,Drama,foreign language
74,Bed of Roses ,1996,Drama,chick flick
75,Big Bully ,1996,Comedy,Steve Miner
76,Screamers ,1995,Action,horror
77,Nico Icon ,1995,Documentary,biopic
78,Crossing Guard,1995,Action,Nudity (Topless)
79,Juror,1996,Drama,Nudity (Topless)
80,White Balloon,1995,Children,Children
81,Things to Do in Denver When You're Dead ,1995,Crime,Denver
82,Antonia's Line Antonia ,1995,Comedy,netflix
85,Angels and Insects ,1995,Drama,19th century
86,White Squall ,1996,Action,Ridley Scott
87,Dunston Checks In ,1996,Children,Ken Kwapis
